latitude,longitude
40.75134,-73.98196
32.88568,-117.22409
58.32994,-134.47019
40.37126,-80.68664
34.19451,-118.61628
42.02505,-87.75704
34.20097,-118.46482
42.5586,-71.68129
26.83978,-80.10506
39.77852,-81.11009
